HHID,DV,From,To,T_hr,T_min,Wt_time,AV_time,Trn_time,Wlk_time,Onboard,Prk_time,Prk_fee,AV_dist,PAV_opr,Fare
1,X[1] = 1.0,0,2,3.0,0.0,,0,,,0.0,,,0,0.0,
1,X[1] = 1.0,1,3,8.0,37.82857142857506,,0,,,1.0,,,0,0.0,
1,X[1] = 1.0,2,8,8.0,31.63214285714298,,1.742857142857143,,,1.0,,,670,0.20099999999999998,
1,X[1] = 1.0,3,4,8.0,42.82857142857438,,12.171428571428569,,,2.0,,,6300,1.89,
1,X[1] = 1.0,4,6,9.0,2.2737367544323206e-12,,10.205714285714285,,,1.0,,,5100,1.5299999999999998,
1,X[1] = 1.0,6,33,9.0,15.0,,7.771428571428572,,,-0.0,,,3800,1.14,
1,X[1] = 1.0,8,1,8.0,33.375,,1.742857142857143,,,0.0,,,670,0.20099999999999998,
1,X[1] = 1.0,31,34,15.0,47.77142857142826,,12.171428571428569,,,0.0,1.5009523809531569,0.0,6300,1.89,
1,X[1] = 1.0,33,36,9.0,27.77142857142826,,7.771428571428572,,,0.0,5.990952380951725,0.0,3800,1.14,
1,X[1] = 1.0,34,43,17.0,30.0,0.0,9.731428571428571,,,1.0,,,6220,1.8659999999999999,
1,X[1] = 1.0,36,45,15.0,35.0,0.0,7.771428571428572,,,1.0,,,3800,1.14,
1,X[1] = 1.0,43,49,17.0,44.73142857142966,,0,,,0.0,,,0,0.0,
1,X[1] = 1.0,45,31,15.0,42.77142857142826,,0,,,0.0,,,0,0.0,
1,Z =1.0,35,44,17.0,30.0,3,,14.0,17.5,,,,,,1.75
1,Z =1.0,8,5,8.0,33.375,3,,13.999999999999998,9.625,,,,,,1.75
1,H[1] = 1.0,0,1,3.0,0.0,0,0,,,,,,0,,
1,H[1] = 1.0,1,3,8.0,37.82857142857506,0,0,,,,,,0,,
1,H[1] = 1.0,3,4,8.0,42.82857142857438,0,12.171428571428569,,,,,,6300,,
1,H[1] = 1.0,4,34,9.0,2.2737367544323206e-12,0,0,,,,,,0,,
1,H[1] = 1.0,34,43,17.0,30.0,0.0,9.731428571428571,,,,,,6220,,
1,H[1] = 1.0,43,49,17.0,44.73142857142966,0,0,,,,,,0,,
1,H[2] = 1.0,0,2,3.0,0.0,0,0,,,,,,0,,
1,H[2] = 1.0,2,8,8.0,31.63214285714298,0,1.742857142857143,,,,,,670,,
1,H[2] = 1.0,5,35,9.0,1.5916157281026244e-12,0,0,,,,,,0,,
1,H[2] = 1.0,8,5,8.0,33.375,3,,13.999999999999998,9.625,,,,,,1.75
1,H[2] = 1.0,35,44,17.0,30.0,3,,14.0,17.5,,,,,,1.75
1,H[2] = 1.0,44,49,18.0,4.499999999999318,0,0,,,,,,0,,
1,H[3] = 1.0,0,3,3.0,0.0,0,0,,,,,,0,,
1,H[3] = 1.0,3,4,8.0,42.82857142857438,0,12.171428571428569,,,,,,6300,,
1,H[3] = 1.0,4,6,9.0,2.2737367544323206e-12,0,10.205714285714285,,,,,,5100,,
1,H[3] = 1.0,6,36,9.0,15.0,0,0,,,,,,0,,
1,H[3] = 1.0,36,45,15.0,35.0,0.0,7.771428571428572,,,,,,3800,,
1,H[3] = 1.0,45,49,15.0,42.77142857142826,0,0,,,,,,0,,
HH cost,27.72904285714289,,,,,,,,,,,,,,
Runtime,7.85,,,,,,,,,,,,,,
Activities,3,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
PAVwt,3.637978807091713e-14,,,,,,,,,,,,,,
PAViv,6.122285714285714,,,,,,,,,,,,,,
PAVop,10.998,,,,,,,,,,,,,,
PAVpk,0.0,,,,,,,,,,,,,,
SAVwt,0.0,,,,,,,,,,,,,,
SAViv,0.0,,,,,,,,,,,,,,
SAVfb,0.0,,,,,,,,,,,,,,
SAVfd,0.0,,,,,,,,,,,,,,
TRNwk,5.9675,,,,,,,,,,,,,,
TRNwt,0.72,,,,,,,,,,,,,,
TRNiv,0.42125714285714294,,,,,,,,,,,,,,
TRNfr,3.5,,,,,,,,,,,,,,
